timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1564640346492,97,View Queue Results,200,,Thread Group - Milo Queue Access  1-2,text,true,,56659,1293,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do,93,0,0
1564640346491,97,PendingReceivedViaEdiAction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Milo Queue Access  1-2,,true,,56659,1293,3,3,null,93,3,0
1564640346505,91,Click Queues,200,,Thread Group - Milo Queue Access  1-3,,true,,48973,845,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/workbench/queues/showQueues?menuId=1&pageId=2&_pageLabel=page_workbench&MLMenu=true,49,0,0
1564640346501,97,Click Logout,200,,Thread Group - Milo Queue Access  1-1,,true,,13160,1456,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,42,0,0
1564640346501,42,Click Logout-0,302,,Thread Group - Milo Queue Access  1-1,,true,,357,720,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_logout,42,0,0
1564640346544,54,Click Logout-1,200,,Thread Group - Milo Queue Access  1-1,,true,,12803,736,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,51,0,0
1564640346599,49,Milo Login,200,,Thread Group - Milo Queue Access  1-1,,true,,12803,736,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,49,0,0
1564640346500,146,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-1,,true,,25963,2192,3,3,null,91,3,0
1564640346592,95,Click Logout,200,,Thread Group - Milo Queue Access  1-2,,true,,13160,1456,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,44,0,0
1564640346592,44,Click Logout-0,302,,Thread Group - Milo Queue Access  1-2,,true,,357,720,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_logout,44,0,0
1564640346636,51,Click Logout-1,200,,Thread Group - Milo Queue Access  1-2,,true,,12803,736,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,50,0,0
1564640346596,99,Click Pending Orders Received via Edit,200,,Thread Group - Milo Queue Access  1-3,text,true,,46459,688,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do?_pageLabel=page_im_q_edi_pending_orders,95,0,0
1564640346503,190,Click Queues,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-3,,true,,95432,1533,3,3,null,144,2,0
1564640346688,49,Milo Login,200,,Thread Group - Milo Queue Access  1-2,,true,,12803,736,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,49,0,0
1564640346591,144,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-2,,true,,25963,2192,3,3,null,93,3,0
1564640346696,100,View Queue Results,200,,Thread Group - Milo Queue Access  1-3,text,true,,56645,1293,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do,95,0,0
1564640346695,100,PendingReceivedViaEdiAction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Milo Queue Access  1-3,,true,,56645,1293,3,3,null,95,2,0
1564640346652,195,Login URL,200,,Thread Group - Milo Queue Access  1-1,text,true,,1616,632,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/mil_ops/mil_dt,195,0,142
1564640346797,101,Click Logout,200,,Thread Group - Milo Queue Access  1-3,,true,,13205,1456,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,44,0,0
1564640346797,44,Click Logout-0,302,,Thread Group - Milo Queue Access  1-3,,true,,357,720,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_logout,44,0,0
1564640346843,55,Click Logout-1,200,,Thread Group - Milo Queue Access  1-3,,true,,12848,736,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,54,0,0
1564640346849,52,Login URL,200,,Thread Group - Milo Queue Access  1-1,,true,,12848,712,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login,49,0,0
1564640346650,247,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-1,,true,,14464,1344,3,3,null,244,5,142
1564640346739,179,Login URL,200,,Thread Group - Milo Queue Access  1-2,text,true,,1616,632,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/mil_ops/mil_dt,179,0,132
1564640346900,51,Milo Login,200,,Thread Group - Milo Queue Access  1-3,,true,,12836,736,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,50,0,0
1564640346797,152,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-3,,true,,26041,2192,3,3,null,94,3,0
1564640346919,49,Login URL,200,,Thread Group - Milo Queue Access  1-2,,true,,12803,712,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login,49,0,0
1564640346738,228,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-2,,true,,14419,1344,3,3,null,228,3,132
1564640346952,175,Login URL,200,,Thread Group - Milo Queue Access  1-3,text,true,,1616,632,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/mil_ops/mil_dt,175,0,132
1564640346903,250,Authenticate,200,,Thread Group - Milo Queue Access  1-1,,true,,36086,1723,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,59,0,0
1564640346903,59,Authenticate-0,302,,Thread Group - Milo Queue Access  1-1,,true,,460,889,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_check,59,0,0
1564640346965,188,Authenticate-1,200,,Thread Group - Milo Queue Access  1-1,,true,,35626,834,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,147,0,0
1564640347128,45,Login URL,200,,Thread Group - Milo Queue Access  1-3,,true,,12803,712,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login,44,0,0
1564640346952,220,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-3,,true,,14419,1344,3,3,null,219,1,132
1564640346969,214,Authenticate,200,,Thread Group - Milo Queue Access  1-2,,true,,36072,1723,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,55,0,0
1564640346969,55,Authenticate-0,302,,Thread Group - Milo Queue Access  1-2,,true,,460,889,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_check,55,0,0
1564640347025,158,Authenticate-1,200,,Thread Group - Milo Queue Access  1-2,,true,,35612,834,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,117,0,0
1564640347183,106,AuthSuccess,200,,Thread Group - Milo Queue Access  1-2,,true,,35612,750,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,103,0,0
1564640346969,320,Authenticate Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-2,,true,,71684,2473,3,3,null,158,0,0
1564640347153,138,AuthSuccess,200,,Thread Group - Milo Queue Access  1-1,,true,,35626,750,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,134,0,0
1564640346903,388,Authenticate Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-1,,true,,71712,2473,3,3,null,193,0,0
1564640347290,89,Click Queues,200,,Thread Group - Milo Queue Access  1-2,,true,,48971,845,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/workbench/queues/showQueues?menuId=1&pageId=2&_pageLabel=page_workbench&MLMenu=true,49,0,0
1564640347291,90,Click Queues,200,,Thread Group - Milo Queue Access  1-1,,true,,48953,845,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/workbench/queues/showQueues?menuId=1&pageId=2&_pageLabel=page_workbench&MLMenu=true,49,0,0
1564640347173,257,Authenticate,200,,Thread Group - Milo Queue Access  1-3,,true,,36092,1723,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,61,0,0
1564640347173,61,Authenticate-0,302,,Thread Group - Milo Queue Access  1-3,,true,,460,889,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_check,61,0,0
1564640347234,196,Authenticate-1,200,,Thread Group - Milo Queue Access  1-3,,true,,35632,834,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,155,0,0
1564640347380,77,Click Pending Orders Received via Edit,200,,Thread Group - Milo Queue Access  1-2,text,true,,46430,688,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do?_pageLabel=page_im_q_edi_pending_orders,74,0,0
1564640347289,166,Click Queues,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-2,,true,,95401,1533,3,3,null,123,2,0
1564640347381,84,Click Pending Orders Received via Edit,200,,Thread Group - Milo Queue Access  1-1,text,true,,46436,688,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do?_pageLabel=page_im_q_edi_pending_orders,81,0,0
1564640347291,174,Click Queues,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-1,,true,,95389,1533,3,3,null,130,2,0
1564640347457,83,View Queue Results,200,,Thread Group - Milo Queue Access  1-2,text,true,,56644,1293,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do,77,0,0
1564640347457,83,PendingReceivedViaEdiAction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Milo Queue Access  1-2,,true,,56644,1293,3,3,null,77,1,0
1564640347430,130,AuthSuccess,200,,Thread Group - Milo Queue Access  1-3,,true,,35625,750,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,128,0,0
1564640347173,387,Authenticate Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-3,,true,,71717,2473,3,3,null,189,1,0
1564640347468,99,View Queue Results,200,,Thread Group - Milo Queue Access  1-1,text,true,,56645,1293,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do,95,0,0
1564640347467,99,PendingReceivedViaEdiAction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Milo Queue Access  1-1,,true,,56645,1293,3,3,null,95,1,0
1564640347541,95,Click Logout,200,,Thread Group - Milo Queue Access  1-2,,true,,13160,1456,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,43,0,0
1564640347541,43,Click Logout-0,302,,Thread Group - Milo Queue Access  1-2,,true,,357,720,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_logout,43,0,0
1564640347584,52,Click Logout-1,200,,Thread Group - Milo Queue Access  1-2,,true,,12803,736,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,52,0,0
1564640347561,92,Click Queues,200,,Thread Group - Milo Queue Access  1-3,,true,,48966,845,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/workbench/queues/showQueues?menuId=1&pageId=2&_pageLabel=page_workbench&MLMenu=true,52,0,0
1564640347568,94,Click Logout,200,,Thread Group - Milo Queue Access  1-1,,true,,13160,1456,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,42,0,0
1564640347568,42,Click Logout-0,302,,Thread Group - Milo Queue Access  1-1,,true,,357,720,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_logout,42,0,0
1564640347610,52,Click Logout-1,200,,Thread Group - Milo Queue Access  1-1,,true,,12803,736,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,51,0,0
1564640347637,48,Milo Login,200,,Thread Group - Milo Queue Access  1-2,,true,,12803,736,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,48,0,0
1564640347541,143,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-2,,true,,25963,2192,3,3,null,91,1,0
1564640347666,49,Milo Login,200,,Thread Group - Milo Queue Access  1-1,,true,,12836,736,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,48,0,0
1564640347567,143,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-1,,true,,25996,2192,3,3,null,90,5,0
1564640347654,82,Click Pending Orders Received via Edit,200,,Thread Group - Milo Queue Access  1-3,text,true,,46439,688,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do?_pageLabel=page_im_q_edi_pending_orders,79,0,0
1564640347561,174,Click Queues,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-3,,true,,95405,1533,3,3,null,131,1,0
1564640347737,96,View Queue Results,200,,Thread Group - Milo Queue Access  1-3,text,true,,56643,1293,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do,92,0,0
1564640347737,96,PendingReceivedViaEdiAction,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Milo Queue Access  1-3,,true,,56643,1293,3,3,null,92,1,0
1564640347686,174,Login URL,200,,Thread Group - Milo Queue Access  1-2,text,true,,1616,632,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/mil_ops/mil_dt,174,0,131
1564640347716,176,Login URL,200,,Thread Group - Milo Queue Access  1-1,text,true,,1616,632,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/mil_ops/mil_dt,176,0,133
1564640347861,46,Login URL,200,,Thread Group - Milo Queue Access  1-2,,true,,12803,712,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login,45,0,0
1564640347686,220,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-2,,true,,14419,1344,3,3,null,219,1,131
1564640347834,95,Click Logout,200,,Thread Group - Milo Queue Access  1-3,,true,,13160,1456,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,42,0,0
1564640347834,42,Click Logout-0,302,,Thread Group - Milo Queue Access  1-3,,true,,357,720,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_logout,42,0,0
1564640347878,51,Click Logout-1,200,,Thread Group - Milo Queue Access  1-3,,true,,12803,736,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,51,0,0
1564640347892,44,Login URL,200,,Thread Group - Milo Queue Access  1-1,,true,,12803,712,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login,44,0,0
1564640347715,220,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-1,,true,,14419,1344,3,3,null,220,2,133
1564640347929,50,Milo Login,200,,Thread Group - Milo Queue Access  1-3,,true,,12803,736,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login?logout=true,49,0,0
1564640347834,145,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-3,,true,,25963,2192,3,3,null,91,0,0
1564640347908,209,Authenticate,200,,Thread Group - Milo Queue Access  1-2,,true,,36072,1723,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,54,0,0
1564640347908,54,Authenticate-0,302,,Thread Group - Milo Queue Access  1-2,,true,,460,889,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_check,54,0,0
1564640347962,155,Authenticate-1,200,,Thread Group - Milo Queue Access  1-2,,true,,35612,834,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,114,0,0
1564640347980,170,Login URL,200,,Thread Group - Milo Queue Access  1-3,text,true,,1616,632,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/mil_ops/mil_dt,170,0,126
1564640347937,243,Authenticate,200,,Thread Group - Milo Queue Access  1-1,,true,,36077,1723,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,59,0,0
1564640347937,59,Authenticate-0,302,,Thread Group - Milo Queue Access  1-1,,true,,460,889,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_check,59,0,0
1564640347997,183,Authenticate-1,200,,Thread Group - Milo Queue Access  1-1,,true,,35617,834,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,143,0,0
1564640348150,44,Login URL,200,,Thread Group - Milo Queue Access  1-3,,true,,12803,712,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login,43,0,0
1564640347979,214,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-3,,true,,14419,1344,3,3,null,213,2,126
1564640348117,108,AuthSuccess,200,,Thread Group - Milo Queue Access  1-2,,true,,35611,750,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,106,0,0
1564640347908,317,Authenticate Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-2,,true,,71683,2473,3,3,null,160,1,0
1564640348181,131,AuthSuccess,200,,Thread Group - Milo Queue Access  1-1,,true,,35633,750,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,128,0,0
1564640347937,374,Authenticate Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-1,,true,,71710,2473,3,3,null,187,1,0
1564640348226,89,Click Queues,200,,Thread Group - Milo Queue Access  1-2,,true,,48967,845,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/workbench/queues/showQueues?menuId=1&pageId=2&_pageLabel=page_workbench&MLMenu=true,49,0,0
1564640348316,69,Click Pending Orders Received via Edit,200,,Thread Group - Milo Queue Access  1-2,text,true,,46417,688,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do?_pageLabel=page_im_q_edi_pending_orders,66,0,0
1564640348226,158,Click Queues,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-2,,true,,95384,1533,3,3,null,115,2,0
1564640348312,92,Click Queues,200,,Thread Group - Milo Queue Access  1-1,,true,,48966,845,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/workbench/queues/showQueues?menuId=1&pageId=2&_pageLabel=page_workbench&MLMenu=true,51,0,0
